Catalog Number,Nationality,Sex,Art_type,Name,Catalog Number2,Description,Image Source
Q270641,American,Female,"Artist, Author, Performance Artist",Kathy Acker,500332140,"
Kathy Acker (April 18, 1947 – November 30, 1997) was an American experimental novelist, playwright, essayist, postmodernist and sex-positive feminist writer. She was influenced by the Black Mountain School poets, the writer William S. Burroughs, the artist and theoretician David Antin, French critical theory, feminist artists Carolee Schneeman and Eleanor Antin, and by philosophy, mysticism, and pornography.
",https://www.moma.org/d/assets/W1siZiIsIjIwMTUvMTAvMTQvNXFxb2V5b3piOV8yOTQyNi5qcGciXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAyNTZ4MjU2XHUwMDNlIl1d/29426.jpg?sha=531d39d138bbe23a
Q459421,German,Male,"Artist, Painter","Franz Ackermann, Franz Achermann",500116117,"
Franz Ackermann (born 1963 in Neumarkt-Sankt Veit, Bavaria) is a German painter and installation artist based in Berlin. He makes cartoonish abstraction.
He attended the Akademie der Bildenden Kunste in Munich from 1984–1988 and the Hochschule für bildende Künste Hamburg from 1989-1991.
He has shown work internationally in many exhibitions including the 2003 Venice Biennale, “Drawing Now: 8 Propositions” at the Museum of Modern Art in New York City, “Hybrids” at Tate Liverpool, “Global Navigation System” at Pace le aloghy de Tokyo in Paris and “Seasons in the Sun” at the Stedelijk Museum in Amsterdam.  He is represented by neugerriemschneider in Berlin, Gavin Brown’s Enterprise in New York, Meyer Riegger gallery in Karlsruhe, Galeria Fortes Vilaca in Sao Paulo and Gio Marconi in Milan.
His works are held in the collection of the Museum of Modern Art, in New York.
",https://www.moma.org/d/assets/W1siZiIsIjIwMTUvMTAvMTQvNG1zOTR6aDQza18zMTg3NC5qcGciXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAyNTZ4MjU2XHUwMDNlIl1d/31874.jpg?sha=c8b6fd78c2bbb5d8
Q7051892,"British, English",Male,"Artist, Graphic Artist, Painter",Norman Ackroyd,500029028,"
Norman Ackroyd, CBE, RA (born 26 March 1938) is an English artist known primarily for his aquatint work. He lives and is based in Bermondsey, London.
",No image
Q662900,French,Male,"Artist, Tapestry Designer, Sculptor","Henri Georges Adam, Georges H. Adam, Henri-Georges Adam",500020748,"
Henri-Georges Adam (January 14, 1904 – August 27, 1967) was a French engraver and non-figurative sculptor of the École de Paris, who was also involved in the creation of numerous monumental tapestries. His work in these three areas is regarded as among the most extensive of the twentieth century.
",https://www.moma.org/d/c/installation_images/W1siZiIsIjM1NjM0MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDI1NngyNTZcdTAwM2UgLWZ1enogMTAlIC10cmltIix7ImZvcm1hdCI6ImpwZyIsImZyYW1lIjoiMCJ9XV0.jpg?sha=d94b14175c50c70d
Q562139,Italian,Male,"Artist, Painter","Valerio Adami, Ṿaleryo Adami",500013534,"
Valerio Adami (born  17 March 1935) is an Italian painter. Educated at the Accademia di Brera in Milan, he has since worked in both London and Paris. His art is influenced by Pop Art.
Adami was born in Bologna.  In 1945, at the age of ten, he began to study painting under the instruction of Felice Carena. He was accepted into the Brera Academy (Accademia di Brera) in 1951, and there studied as a draughtsman until 1954 in the studio of Achille Funi. In 1955 he went to Paris, where he met and was influenced by Roberto Matta and Wifredo Lam. His first solo exhibition came in 1959 in Milan.
In his early career, Adami's works were expressionistic, but by the time of his second exhibition in 1964 at Kassel, he had developed a style of painting reminiscent of French cloisonnism, featuring regions of flat color bordered by black lines. Unlike Gauguin, however, Adami's subjects were highly stylized and often presented in fragments, as seen in Telescoping Rooms (1965).
In the 1970s, Adami began to address politics in his art, and incorporated subject matter such as modern European history, literature, philosophy, and mythology. In 1971, he and his brother Gioncarlo created the film Vacances dans le désert. In 1974 he illustrated a Helmut Heissenbuttel poem, Occasional Poem No. 27. Ten Lessons on the Reich with ten original lithographs {Gallerie Maeght}. In 1975, the philosopher Jacques Derrida devoted a long essay, ""+R: Into the Bargain"", to Adami's work, using an exhibition of Adami's drawings as a pretext to discuss the function of ""the letter and the proper name in painting"", with reference to ""narration, technical reproduction, ideology, the phoneme, the biographeme, and politics"".There were four retrospective exhibits of Adami's work between 1985 and 1998.  They were held in Paris, the Centre Julio-Gonzalez de Valence (Spain), Tel Aviv, and Buenos Aires.  In 2010, the Boca Raton Museum of Art devoted a special exhibit to Adami's paintings and drawings.
",https://www.moma.org/d/assets/W1siZiIsIjIwMTYvMDgvMDEvOG14ZWoxYWZmcF80MjRfMTk2Nl9DUi5qcGciXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAyNTZ4MjU2XHUwMDNlIl1d/424_1966_CR.jpg?sha=e3ab7e9a254d50d3
Q4725709,American,Female,"Artist, Sculptor",Alice Adams,500033075,"
Alice Adams (born November 16, 1930) is an American artist known for her sculpture and site-specific land art  in the 1970s  and for her major public art projects in transit systems, airports, university campuses and other urban sites throughout the United States since 1986.  Her earlier work in tapestry and woven forms was important in the American fiber art movement.
",https://www.moma.org/d/c/installation_images/W1siZiIsIjM2MzM4NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDI1NngyNTZcdTAwM2UgLWZ1enogMTAlIC10cmltIix7ImZvcm1hdCI6ImpwZyIsImZyYW1lIjoiMCJ9XV0.jpg?sha=6200d5334048c0e4
Q60809,American,Male,"Artist, Photographer","Ansel Adams, Ansel Easton Adams",500026108,"
Ansel Easton Adams (February 20, 1902 – April 22, 1984) was an American landscape photographer and environmentalist known for his black-and-white images of the American West. 
Adams helped found Group f/64, an association of photographers advocating ""pure"" photography that favored sharp focus and the use of the full tonal range of a photograph. With Fred Archer, he developed an exacting system of image-making called the Zone System, which described a method of achieving a desired final print through a deeply technical understanding of how tonal range is recorded and developed in exposure, negative development, and printing. The resulting clarity and depth of such images characterized his photography.
Adams was a life-long advocate for environmental conservation, and his photographic practice was deeply entwined with this advocacy. At age 12, he was given his first camera during his first visit to Yosemite National Park. He developed his early photographic work as a member of the Sierra Club. He was later contracted with the U.S. Department of the Interior to make photographs of U.S. National Parks. For his work and his persistent advocacy, which helped expand the National Park system, he was awarded the Presidential Medal of Freedom in 1980.
With trustee David H. McAlpin and curator Beaumont Newhall, Adams was a key advisor in establishing the photography department at the Museum of Modern Art in New York, an important landmark in securing photography's institutional legitimacy. He helped to stage that department's first photography exhibition, helped found the photography magazine Aperture, and co-founded the Center for Creative Photography at the University of Arizona.
",https://www.moma.org/d/assets/W1siZiIsIjIwMTUvMTAvMjIvMnZnaGJyMDhtYV9BbWVyaWNhbk1vZGVybkhvcHBlci5qcGciXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAyNTZ4MjU2XHUwMDNlIl1d/AmericanModernHopper.jpg?sha=6b8f2e1960cf16c8
Q5134058,American,Male,"Artist, Teacher, Writer, Art Historian, Painter",Clinton Adams,500042367,"
Clinton Adams (December 11, 1918 – May 13, 2002) was an American artist and art historian.
",https://www.moma.org/d/c/installation_images/W1siZiIsIjM1Nzc5MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDI1NngyNTZcdTAwM2UgLWZ1enogMTAlIC10cmltIix7ImZvcm1hdCI6ImpwZyIsImZyYW1lIjoiMCJ9XV0.jpg?sha=d0f0b7dcc7754afa
Q496027,American,Male,"Artist, Photographer",Eddie Adams,500333553,"
Eddie Adams (June 12, 1933 – September 19, 2004) was an American photographer and photojournalist noted for portraits of celebrities and politicians and for coverage of 13 wars. He is best known for his photograph of the execution of a Viet Cong soldier, for which he won a Pulitzer Prize in 1969.  Adams was a resident of Bogota, New Jersey.
",https://www.moma.org/d/c/installation_images/W1siZiIsIjk2Nzg0Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMjU2eDI1Nlx1MDAzZSAtZnV6eiAxMCUgLXRyaW0iLHsiZm9ybWF0IjoianBnIiwiZnJhbWUiOiIwIn1dXQ.jpg?sha=4044446d38258398
Q509636,"British, Scottish",Male,"Artist, Chemist, Photographer",Robert Adamson,500010587,"
Robert Adamson (26 April 1821 – 14 January 1848) was a Scottish chemist and pioneer photographer at Hill & Adamson. He is best known for his pioneering photographic work with David Octavius Hill and producing some 2500 calotypes, mostly portraits, within 5 years after being hired by Hill in 1843, before his life was cut short.
",https://www.moma.org/d/c/installation_images/W1siZiIsIjIxNzAwNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDI1NngyNTZcdTAwM2UgLWZ1enogMTAlIC10cmltIix7ImZvcm1hdCI6ImpwZyIsImZyYW1lIjoiMCJ9XV0.jpg?sha=a23d8d6695bbd979
Q1392710,American,Male,"Artist, Author, Teacher, Writer, Photographer","Robert Adams, Robert Hickman Adams, Robert ii Adams",500037036,"
Robert Adams (born May 8, 1937) is an American photographer who has focused on the changing landscape of the American West. His work first came to prominence in the mid-1970s through his book The New West (1974) and his participation in the exhibition New Topographics: Photographs of a Man-Altered Landscape in 1975. He has received two Guggenheim Fellowships, a MacArthur Fellowship, the Deutsche Börse Photography Prize and the Hasselblad Award.
",https://www.moma.org/d/assets/W1siZiIsIjIwMTcvMDIvMTMvMWJpcjdudW9iY18zNThfMjAxM194MV9yaWNyLmpwZyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDI1NngyNTZcdTAwM2UiXV0/358_2013_x1_ricr.jpg?sha=a1c265b652317fa6
Q361106,American,Male,"Artist, Cartoonist","Charles Addams, Charles Samuel Addams, Chas Addams, Chaz Addams",500074368,"
Charles Samuel Addams (January 7, 1912 – September 29, 1988) was an American cartoonist known for his darkly humorous and macabre characters. He signed his cartoons Chas Addams. Some of the recurring characters, who became known as the Addams Family, have been the basis for spin-offs in several other forms of media.
",https://www.moma.org/d/c/installation_images/W1siZiIsIjM3MDU2MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDI1NngyNTZcdTAwM2UgLWZ1enogMTAlIC10cmltIix7ImZvcm1hdCI6ImpwZyIsImZyYW1lIjoiMCJ9XV0.jpg?sha=a244516f8bc0064e
Q2479548,Dutch,Male,"Artist, Conceptual Artist, Photographer","Bas Jan Ader, Basjan Ader, Bastiaan Johan Christiaan Ader",500074847,"
Bastiaan Johan Christiaan ""Bas Jan"" Ader (19 April 1942 – disappeared 1975) was a Dutch conceptual and performance artist, and photographer. His work was in many instances presented as photographs and film of his performances. He made performative installations, including Please Don't Leave Me (1969).
Ader was lost at sea in 1975, attempting to cross the Atlantic Ocean from the American coast to England sailing in a thirteen-foot sailboat. His deserted vessel was found off the coast of Ireland on 18 April  1976, offering few clues as to his fate.
",https://www.moma.org/d/c/installation_images/W1siZiIsIjIwMzQ5NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDI1NngyNTZcdTAwM2UgLWZ1enogMTAlIC10cmltIix7ImZvcm1hdCI6ImpwZyIsImZyYW1lIjoiMCJ9XV0.jpg?sha=5ef30ef670b75d96
Q76573,American,Male,"Artist, Architect, Engineer",Dankmar Adler,500000517,"
Dankmar Adler (July 3, 1844 – April 16, 1900) was a German-born American architect and civil engineer. He is best known for his ten-year partnership with Louis Sullivan, during which they designed influential skyscrapers that boldly addressed their steel skeleton through their exterior design: the Wainwright Building in St. Louis, Missouri (1891), the Chicago Stock Exchange Building (1894), and the Guaranty Building in Buffalo, New York (1896).
",https://www.moma.org/d/assets/W1siZiIsIjIwMTUvMTAvMjIvMWtpOXBveDJoa19IZW5yaUxhYnJvdXN0ZS5qcGciXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAyNTZ4MjU2XHUwMDNlIl1d/HenriLabrouste.jpg?sha=1dd91f9679179487
Q213726,"Polish, Central European, Eastern European",Male,"Artist, Painter","Jankel Adler, Yanḳel Adler, Adler",500027359,"
Jankel Adler (26 July 1895 – 25 April 1949) was a Jewish-Polish painter and printmaker.
",https://www.moma.org/d/c/installation_images/W1siZiIsIjM1ODc0NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDI1NngyNTZcdTAwM2UgLWZ1enogMTAlIC10cmltIix7ImZvcm1hdCI6ImpwZyIsImZyYW1lIjoiMCJ9XV0.jpg?sha=b4fee666defdfa68
Q7815833,American,Female,"Artist, Poet, Painter","Virginia Admiral, Virginia Holton Admiral, Virginia De Niro",500044912,"
Virginia Holton Admiral or Virginia De Niro (February 4, 1915 – July 27, 2000) was an American painter, poet and the mother of actor Robert De Niro. She studied painting under Hans Hofmann in New York, and her work was included in the Peggy Guggenheim collection.
",https://www.moma.org/d/c/installation_images/W1siZiIsIjM1MTIzMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDI1NngyNTZcdTAwM2UgLWZ1enogMTAlIC10cmltIix7ImZvcm1hdCI6ImpwZyIsImZyYW1lIjoiMCJ9XV0.jpg?sha=2c911e4623b474cf
Q388090,Italian,Male,"Artist, Painter","Afro, Afro Basaldella, Basaldella Afro, Basaldella, Afro (Afro Basaldella)",500014109,"
Afro Libio Basaldella (March 4, 1912 – July 24, 1976) was an Italian painter and educator in the post-World War II period. Working together with Alberto Burri and Lucio Fontana, and beginning as a member of the Scuola Romana. He was generally known by the single name, ""Afro"".
",https://www.moma.org/d/c/installation_images/W1siZiIsIjM1NTkyMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDI1NngyNTZcdTAwM2UgLWZ1enogMTAlIC10cmltIix7ImZvcm1hdCI6ImpwZyIsImZyYW1lIjoiMCJ9XV0.jpg?sha=82f9a13e23609869
Q276030,"Israeli, Middle Eastern",Male,"Artist, Painter, Sculptor","Yaacov Agam, Jacob Gipstein Agam, Yaacov Gipstein, Agam (Yaacov Agam)",500019224,"
Yaacov Agam (Hebrew: יעקב אגם‎; born 11 May 1928) is an Israeli sculptor and experimental artist best known for his contributions to optical and kinetic art.
",https://www.moma.org/d/c/installation_images/W1siZiIsIjM1NzAyMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDI1NngyNTZcdTAwM2UgLWZ1enogMTAlIC10cmltIix7ImZvcm1hdCI6ImpwZyIsImZyYW1lIjoiMCJ9XV0.jpg?sha=533e30858fea135e
Q267559,"Finnish, Scandinavian",Female,"Artist, Video Artist","Eija-Liisa Ahtila, Eija-Liisa Attilah",500056739,"
Eija-Liisa Ahtila (born 1959 in Hämeenlinna, Finland) is a contemporary visual artist and filmmaker. She lives and works in Helsinki.
Ahtila experiments with narrative storytelling in her films and cinematic installations. In her earlier works, she dealt with the topic of unsettling human dramas at the centre of personal relationships, dealing e.g. with teenage sexuality, family relations, mental disintegration and death. Her later works, however, deal with more profound and basic artistic questions where she investigates the processes of perception and attribution of meaning, at times in the light of a larger cultural and existential thematic like colonialism, faith and posthumanism.Eija-Liisa Ahtila has participated in numerous international art exhibitions such as Manifesta (1998), the Venice Biennale (2005 and 1999), Documenta 11 (2002), São Paulo Art Biennial (2008) and the Bienniale of Sydney (2002 and 2018).
Ahtila has won several art and film awards, including the inaugural Vincent Award (2000), Artes Mundi (2006), Prince Eugen Medal (2008), and most recently Art Academic in Finland (2009).  
In 2002 she had a solo show at Tate Modern, and in 2006 her multi-screen video piece The Wind (2006) was exhibited at Museum of Modern Art (MoMA). She has also had solo shows at Guggenheim in Bilbao, Moderna Museet in Stockholm, Neue Nationalgalerie in Berlin, Parasol Unit in London, ACMI in Melbourne and DHC/ART in Montreal.
Her work is held in the collections of the Tate and the Museum of Modern Art in New York. She is a former professor at the Department of Time and Space-based Art at the Finnish Academy of Fine Arts (Finland).
",https://www.moma.org/d/assets/W1siZiIsIjIwMTYvMDcvMDEvd3R4dGR0aXkxX3dwaWRfMTE2MTI0ODg1MG1vbWFfMTMxNXg3NDBiaWxpbmVhci5qcGciXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAyNTZ4MjU2XHUwMDNlIl1d/wpid-1161248850moma_1315x740bilinear.jpg?sha=3dc73f630bc56053
Q61191,"German, West German",Male,"Artist, Professor, Designer","Otl Aicher, Otto Aicher",500058307,"
Otto ""Otl"" Aicher (13 May 1922 – 1 September 1991) was a German graphic designer and typographer. He is best known for having designed pictograms for the 1972 Summer Olympics in Munich that proved influential on the use of stick figures for public signage, as well as designing the typeface Rotis. Aicher also co-founded the Ulm School of Design.
",https://www.moma.org/d/assets/W1siZiIsIjIwMTUvMTAvMjEvNnl1NGdzMGJkY19tYWtpbmdtdXNpY21vZGVybi5qcGciXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAyNTZ4MjU2XHUwMDNlIl1d/makingmusicmodern.jpg?sha=e94a4566f5cc9eaa
Q3265338,"Hungarian, American",Male,"Artist, Photojournalist, Photographer",Lucien Aigner,500043259,"
Lucien Aigner (14 September 1901 – 29 March 1999) was a Hungarian photojournalist.
",https://www.moma.org/d/c/installation_images/W1siZiIsIjE2OTUyMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDI1NngyNTZcdTAwM2UgLWZ1enogMTAlIC10cmltIix7ImZvcm1hdCI6ImpwZyIsImZyYW1lIjoiMCJ9XV0.jpg?sha=9f89d19312474b1e
Q5606793,American,Male,"Artist, Architect",Gregory Ain,500008108,"
Gregory Ain (March 28, 1908 – January 9, 1988) was an American architect active in the mid-20th century. Working primarily in the Los Angeles area, Ain is best known for bringing elements of modern architecture to lower- and medium-cost housing. He addressed ""the common architectural problems of common people"".Esther McCoy said ""Ain was an idealist who gave the better part of ten years to combatting outmoded planning and building codes, and hoary real estate practices.""
",https://www.moma.org/d/assets/W1siZiIsIjIwMTYvMDEvMjkvN2R2bzhwbHhtal8xNTNfMTk1OF8xX0NSLmpwZyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDI1NngyNTZcdTAwM2UiXV0/153_1958_1_CR.jpg?sha=681f61363028f3a4
